Image File: Normal 01.bmp 
ROI File: ROI image 02.roi 
Image size: 602 x 602
Min. lum.: 84
Max. lum.: 256
Bits/pixel: 8

Normalisation =  No
Histogram analysis = Yes
CO matrix analysis = Yes, Dimensions = 6 x 6, Distances = 1 2 3 4 5
RL matrix analysis = Yes, Dimension = 6
Gradient analysis = Yes, Max pixel value = 16
AR model analysis = Yes
Wavelet analysis = Yes

--------------- CLASS NAMES ----------------

----------------- FEATURES -----------------
S(1,1)SumAverg	67.149744	59.806428	63.614317	64.395179	62.450694	54.658145	53.921841	59.959094	64.755296	56.420015	57.552958	58.242513	66.298758	60.225712	63.6355	67.558802
S(1,1)SumVarnc	13.507891	18.537402	15.046282	16.071007	12.542675	5.972251	7.6337743	4.6192179	9.011705	11.49415	8.8680866	16.326871	5.525791	14.456724	10.323678	8.2772216
S(1,1)SumEntrp	1.1156382	1.1451339	1.15749	1.1488474	1.0575496	0.91008781	1.0059433	0.86795406	1.0218269	1.105598	1.0480075	1.1417206	0.93178299	1.0946678	1.056182	0.95699488
S(1,1)Entropy	1.2118164	1.2509017	1.2562878	1.2545039	1.1505086	0.98067264	1.1019643	0.94442318	1.1053735	1.2198344	1.1522356	1.225279	1.0124828	1.1687709	1.1439182	1.0216427
S(1,1)DifVarnc	0.21615539	0.2272142	0.22036421	0.22647681	0.21174061	0.17949792	0.2166292	0.18813645	0.19935427	0.23564037	0.22635729	0.20052706	0.1962126	0.18556784	0.20650841	0.16863546
S(1,1)DifEntrp	0.27177278	0.28196493	0.27570218	0.28060514	0.2674468	0.23653001	0.27202029	0.2452448	0.2559309	0.28976707	0.28015761	0.25651528	0.25247218	0.24237224	0.26207418	0.22591534
_Area_S(1,-1)	2738	2738	2738	2738	2738	2738	2738	2738	2738	2738	2738	2738	2738	2738	2738	2738
S(1,-1)AngScMom	0.087899599	0.07962603	0.080011803	0.087035479	0.096928172	0.13258119	0.12672524	0.18844432	0.10277799	0.096749159	0.10756787	0.081831283	0.14070323	0.096294022	0.10204006	0.13411708
S(1,-1)Contrast	0.26442659	0.36961286	0.3228634	0.28414901	0.29583638	0.25639153	0.32505478	0.25054785	0.28122717	0.29291454	0.27903579	0.27976625	0.26223521	0.2403214	0.28122717	0.20598977
S(1,-1)Correlat	0.96179113	0.96081094	0.95781399	0.96530779	0.95403503	0.91735709	0.91828607	0.89681027	0.93942033	0.95058074	0.93952356	0.96632227	0.90932752	0.96732911	0.94699003	0.95159329
S(1,-1)SumOfSqs	3.4602774	4.7157661	3.8266643	4.095286	3.2180636	1.5512009	1.9889803	1.2140154	2.3211348	2.9635668	2.3069795	4.1535793	1.4460573	3.6779136	2.6525876	2.1276987
S(1,-1)InvDfMom	0.86778671	0.82395909	0.8385683	0.85792549	0.85295836	0.87355734	0.83747261	0.87735573	0.85938641	0.85354273	0.86311176	0.86099343	0.8688824	0.8798393	0.86113952	0.89700511
S(1,-1)SumAverg	67.154127	59.804237	63.612856	64.393718	62.452155	54.659606	53.913075	59.961286	64.754565	56.420015	57.548576	58.243243	66.300219	60.225712	63.636961	67.560263
S(1,-1)SumVarnc	13.576683	18.493452	14.983794	16.096995	12.576418	5.9484121	7.6308663	4.6055136	9.0033119	11.561353	8.9488822	16.334551	5.5219941	14.471333	10.329123	8.3048052
S(1,-1)SumEntrp	1.1015272	1.1508929	1.1576099	1.1391479	1.0612033	0.91806402	1.0094235	0.86673174	1.0256827	1.0898841	1.0252073	1.1378835	0.92729809	1.0905745	1.0498507	0.952678
S(1,-1)Entropy	1.1811275	1.2699132	1.2548015	1.2246853	1.1515113	0.99745331	1.1072747	0.94519036	1.1103405	1.1780602	1.1127065	1.2231136	1.0062387	1.1629184	1.1369475	1.0146871
S(1,-1)DifVarnc	0.19450517	0.24358526	0.21862263	0.20340835	0.20917947	0.19214464	0.21939417	0.1899506	0.20213845	0.20711561	0.2036015	0.20231239	0.1934679	0.18256703	0.20377332	0.16355799
S(1,-1)DifEntrp	0.25086424	0.29595188	0.27317514	0.25919969	0.26513369	0.24907321	0.27387525	0.24673384	0.25801809	0.26263556	0.25990067	0.25871653	0.24988519	0.23949174	0.26017146	0.22087988
_Area_S(2,0)	2736	2736	2736	2736	2736	2736	2736	2736	2736	2736	2736	2736	2736	2736	2736	2736
S(2,0)AngScMom	0.073413347	0.073768424	0.070925135	0.076949157	0.091553277	0.12119434	0.10286205	0.17054393	0.095499203	0.071842618	0.087201244	0.066772415	0.12686943	0.077222479	0.082554782	0.11463303
S(2,0)Contrast	0.35380117	0.42178363	0.40935673	0.43640351	0.35745614	0.31067251	0.45321637	0.30921053	0.32894737	0.51461988	0.43128655	0.41593567	0.36769006	0.33040936	0.38450292	0.27923977
S(2,0)Correlat	0.94932977	0.95749833	0.94612331	0.94525564	0.94366268	0.90147572	0.88387424	0.87236609	0.92786621	0.91210268	0.90772068	0.94929351	0.87073401	0.95677259	0.92791246	0.93465616
S(2,0)SumOfSqs	3.4912131	4.9619657	3.7990151	3.985831	3.1724632	1.5766292	1.9514033	1.2113181	2.2801198	2.9273922	2.3368536	4.101405	1.4222227	3.8217571	2.6669167	2.1366954
S(2,0)InvDfMom	0.82573099	0.79875731	0.79883041	0.81513158	0.83092105	0.84904971	0.77777778	0.84627193	0.83815789	0.76725146	0.80453216	0.80606725	0.83019006	0.83479532	0.81476608	0.86038012
S(2,0)SumAverg	67.143275	59.898392	63.614035	64.39693	62.451023	54.670322	53.899123	59.915936	64.714912	56.426901	57.570175	58.221491	66.319444	60.169591	63.622807	67.554094
S(2,0)SumVarnc	13.611051	19.426079	14.786704	15.50692	12.332397	5.9958443	7.3523969	4.5360618	8.791532	11.194949	8.916128	15.989684	5.3212009	14.956619	10.283164	8.2675417
S(2,0)SumEntrp	1.1293426	1.1621586	1.1683637	1.1451398	1.068433	0.93687464	1.0260736	0.88721141	1.033252	1.1135935	1.04991	1.157714	0.94107549	1.1300398	1.0743476	0.98676203
S(2,0)Entropy	1.2390361	1.2991008	1.294833	1.2989384	1.185481	1.0344359	1.1671987	0.98113315	1.1354932	1.2832	1.1944399	1.2927948	1.0633867	1.2295029	1.1974822	1.0708216
S(2,0)DifVarnc	0.23171018	0.25718971	0.2465374	0.29135835	0.24091975	0.21864366	0.25438383	0.21450136	0.22360726	0.29024315	0.27315242	0.26184499	0.24914878	0.22123901	0.24551785	0.20126492
S(2,0)DifEntrp	0.28620135	0.30894798	0.29990086	0.32424635	0.29289106	0.27375986	0.30732015	0.27006126	0.27871772	0.3353454	0.31850042	0.31127227	0.29820769	0.27554602	0.29850106	0.2572039
_Area_S(0,2)	2736	2736	2736	2736	2736	2736	2736	2736	2736	2736	2736	2736	2736	2736	2736	2736
S(0,2)AngScMom	0.07007124	0.066266383	0.06639917	0.067549363	0.0768666	0.11801094	0.11003867	0.15973237	0.080774052	0.079172598	0.077902977	0.073225522	0.12160953	0.078888322	0.079676225	0.10873805
S(0,2)Contrast	0.38961988	0.60672515	0.47660819	0.42909357	0.45760234	0.32821637	0.42397661	0.39327485	0.41812865	0.40935673	0.47880117	0.32309942	0.33845029	0.37573099	0.41593567	0.30847953
S(0,2)Correlat	0.94310704	0.93221351	0.93850895	0.94897402	0.93006761	0.89384175	0.89574987	0.84015943	0.91192629	0.93161597	0.89415171	0.96151202	0.88676451	0.94702953	0.9213625	0.92799582
S(0,2)SumOfSqs	3.4241485	4.4752659	3.8754275	4.2046579	3.2717481	1.5458826	2.0334585	1.2302097	2.3737427	2.9930727	2.2617332	4.1974064	1.4944533	3.5466084	2.6446395	2.1420945
S(0,2)InvDfMom	0.80782164	0.74663743	0.77573099	0.78896199	0.79576023	0.84115497	0.8002924	0.82090643	0.79532164	0.80321637	0.76937135	0.83845029	0.83165205	0.81652047	0.7999269	0.84576023
S(0,2)SumAverg	67.160088	59.725146	63.619883	64.388158	62.453216	54.652778	53.940058	60.01462	64.799708	56.423977	57.524123	58.26462	66.281433	60.292398	63.64693	67.568713
S(0,2)SumVarnc	13.306974	17.294338	15.025102	16.389538	12.62939	5.8553139	7.7098573	4.527564	9.076842	11.562934	8.5681315	16.466526	5.6393629	13.810702	10.162622	8.2598983
S(0,2)SumEntrp	1.1322205	1.155627	1.1773067	1.1758155	1.0834849	0.93866202	1.0276228	0.89426449	1.0615011	1.1166113	1.0582902	1.1554361	0.95946752	1.1222979	1.0806191	0.99542413
